Model,Device number,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency (ms),Throughput (tokens/s),Token energy (mJ),Total power (W),Device utilization
Llama2-13B,20,10,2,32,32,640,0.0576235,0.0074477834865025,0.00507525,0.0701465334865025,0.040868,2.9967293394601007,3336.971366857452,136.50705587482128,592.2369166868608,1.0
Llama2-13B,20,10,2,32,32,768,0.0587435,0.0074477834865025,0.00562525,0.0718165334865025,0.040868,3.0635293394601004,3264.208986411191,136.97614889073736,582.9417250024998,1.0
Llama2-13B,20,10,2,32,32,896,0.059826,0.0074477834865025,0.00617525,0.0734490334865025,0.040868,3.1288293394601,3196.0835555593344,137.4448461371526,574.3524810999926,1.0
Llama2-13B,20,10,2,32,32,1024,0.060941,0.0074477834865025,0.00672525,0.0751140334865025,0.040868,3.1954293394601008,3129.469920210972,137.9138933624186,565.768092755364,1.0
Llama2-13B,20,10,2,32,32,1152,0.0657535,0.0074477834865025,0.00727525,0.0804765334865025,0.040868,3.4099293394601005,2932.612087962889,141.50648039107773,538.0188141736855,1.0
Llama2-13B,20,10,2,32,32,1280,0.0668735,0.0074477834865025,0.00782525,0.0821465334865025,0.040868,3.4767293394601007,2876.2664629950445,141.9755734069938,530.7617120645464,1.0
Llama2-13B,20,10,2,32,32,1408,0.067956,0.0074477834865025,0.0083752499999999,0.0837790334865025,0.040868,3.5420293394601003,2823.240307073308,142.4442706534091,524.0312505643692,1.0
Llama2-13B,20,10,2,32,32,1536,0.069071,0.0074477834865025,0.00892525,0.0854440334865025,0.040868,3.6086293394601,2771.1352592106723,142.91331787867492,517.269613436446,1.0
Llama2-13B,20,10,2,32,32,1664,0.0702335,0.0074477834865025,0.00947525,0.0871565334865025,0.040868,3.677129339460101,2719.512716805404,143.38290000874193,510.37930620267366,1.0
Llama2-13B,20,10,2,32,32,1792,0.0713535,0.0074477834865025,0.01002525,0.0888265334865025,0.040868,3.7439293394601,2670.9905805653016,143.85199302465796,504.0116918744632,1.0
